BEL-ID	BEL original	Sentence	Sentence ID	PMID
BEL:20000112	p(MGI:Fdft1) increases a(CHEBI:dolichol)	it was found that a 6-fold increase in Fdft1 activity compared with that of the wild-type did not cause significant changes in HmgCoA reductase activity, while the amounts of synthesized dolichols and ergosterols increased by 80 and 32 percent respectively.	SEN:10000072	10623644
BEL:20000116	a(CHEBI:androgen) directlyIncreases complex(p(HGNC:AR),p(HGNC:PIAS1))	Binding of PIAS1 to human AR DNA+ligand binding domains was androgen dependent in the yeast liquid beta-galactosidase assay. 	SEN:10000076	10628744
BEL:20000118	a(CHEBI:androgen) directlyIncreases complex(p(HGNC:AR),p(HGNC:PIAS1))	PIAS1 binding to full-length human AR in a reversed yeast two hybrid system was also androgen dependent.	SEN:10000078	10628744
BEL:20000144	cat(p(HGNC:UBE2L3)) increases deg(p(HGNC:FOS))	UbcH7 is a ubiquitin-conjugating enzyme mediating c-fos degradation, transcription factor NF-kappaB maturation, human papilloma virus-mediated p53 and Myc protein degradation, in vitro.	SEN:10000092	10760570
BEL:20000146	cat(p(HGNC:UBE2L3)) increases deg(p(HGNC:MYC))	UbcH7 is a ubiquitin-conjugating enzyme mediating c-fos degradation, transcription factor NF-kappaB maturation, human papilloma virus-mediated p53 and Myc protein degradation, in vitro.	SEN:10000092	10760570
BEL:20000148	cat(p(HGNC:UBE2L3)) increases deg(p(HGNC:TP53))	UbcH7 is a ubiquitin-conjugating enzyme mediating c-fos degradation, transcription factor NF-kappaB maturation, human papilloma virus-mediated p53 and Myc protein degradation, in vitro.	SEN:10000092	10760570
BEL:20000162	p(MGI:Apc) decreases path(MESHD:Adenoma)	These animals bear a germline mutation in the Apc gene and spontaneously develop numerous intestinal adenomas by 15 weeks of age.	SEN:10000102	10783313
BEL:20000172	cat(p(HGNC:PRDX2)) increases deg(a(CHEBI:"lipid hydroperoxide"))	Human TSA1 exhibited high catalytic activity for the reduction of the fatty acid hydroperoxide as indicated by K(m) and V(max) (89.9 microM for linoleic acid hydroperoxide, 28.64 micromol(-1) min(-1) mg(-1), respectively)	SEN:10000108	10841776
BEL:20000178	kin(p(MGI:Chek1)) decreases path(MESHD:Neoplasms)	Chk1 plays an essential role in the mammalian DNA damage checkpoint, embryonic development, and tumor suppression	SEN:10000114	10859164
BEL:20000180	p(HGNC:TLR2) increases cat(p(HGNC:CASP1))	Interestingly, BLP also activates caspase 1 through TLR2, resulting in proteolysis and secretion of mature IL-1beta.	SEN:10000116	10880445
BEL:20000182	cat(p(HGNC:CASP1)) increases p(HGNC:IL1B)	Interestingly, BLP also activates caspase 1 through TLR2, resulting in proteolysis and secretion of mature IL-1beta.	SEN:10000116	10880445
BEL:20000184	cat(p(HGNC:MYD88)) increases bp(GOBP:"apoptotic process")	Here we show that the adaptor molecule, myeloid differentiation factor 88 (MyD88), mediates both apoptosis and nuclear factor-kappaB (NF-kappaB) activation by BLP-stimulated TLR2.	SEN:10000118	10880445
BEL:20000186	cat(p(HGNC:TLR2)) increases cat(p(HGNC:MYD88))	Here we show that the adaptor molecule, myeloid differentiation factor 88 (MyD88), mediates both apoptosis and nuclear factor-kappaB (NF-kappaB) activation by BLP-stimulated TLR2.	SEN:10000118	10880445
BEL:20000192	a(CHEBI:galangin) decreases complex(a(CHEBI:"2,3,7,8-tetrachlorodibenzodioxine"),p(MGI:Ahr))	The ability of galangin to inhibit binding of TCDD, a high-affinity AhR ligand, to the AhR demonstrates that galangin is able to bind to the AhR.	SEN:10000124	10953044
BEL:20000194	a(CHEBI:galangin) increases tscript(p(MGI:Ahr))	"60 or 90 ?M galangin induced AhR nuclear translocation in both cell types (Fig. 11A, lanes 7, 8; Fig. 11B, lane 6)."	SEN:10000126	10953044
BEL:20000200	cat(p(HGNC:FAS)) increases bp(GOBP:"apoptotic process")	Interleukin-1beta (IL-1beta) is a pro-inflammatory cytokine that inhibits beta cell function and promotes Fas-triggered apoptosis.	SEN:10000130	10967112
BEL:20000202	bp(GOBP:"MAPK cascade") increases cat(p(MGI:Tnks))	"Tankyrase is a novel signaling target of mitogen-activated protein kinase (MAPK); it is stoichiometrically phosphorylated upon insulin stimulation. "	SEN:10000132	10988299
BEL:20000204	bp(GOBP:"MAPK cascade") directlyIncreases p(MGI:Tnks,pmod(P))	"Tankyrase is a novel signaling target of mitogen-activated protein kinase (MAPK); it is stoichiometrically phosphorylated upon insulin stimulation. "	SEN:10000132	10988299
BEL:20000210	bp(GOBP:"response to hypoxia") increases deg(p(HGNC:CREB1))	Ambient hypoxia resulted in temporally sequential CREB serine phosphorylation, ubiquitination, and degradation (in vitro and in vivo).	SEN:10000138	11035795
BEL:20000212	bp(GOBP:"response to hypoxia") increases deg(p(HGNC:CREB1))	Thus, hypoxia establishes conditions that target CREB to proteasomal degradation.	SEN:10000140	11035795
BEL:20000214	bp(GOBP:"response to hypoxia") increases p(HGNC:CREB1,pmod(P,S))	Ambient hypoxia resulted in temporally sequential CREB serine phosphorylation, ubiquitination, and degradation (in vitro and in vivo).	SEN:10000138	11035795
BEL:20000226	cat(p(HGNC:IL2)) increases kin(p(HGNC:LYN))	The association of lyn with IL-2Rbeta was markedly elevated by IL-2 stimulation. Furthermore the activity of lyn kinase, evaluated by an in vitro kinase assay with enolase as a substrate, increased following IL-2 stimulation.	SEN:10000150	11131153
BEL:20000228	cat(p(HGNC:IL2)) increases complex(p(HGNC:LYN), p(HGNC:IL2RB))	The association of lyn with IL-2Rbeta was markedly elevated by IL-2 stimulation. Furthermore the activity of lyn kinase, evaluated by an in vitro kinase assay with enolase as a substrate, increased following IL-2 stimulation.	SEN:10000150	11131153
BEL:20000234	a(CHEBI:wortmannin) decreases p(MGI:Ddit3)	Both of the PI3K inhibitors inhibited the induction of CHOP in a dose-dependent manner, with wortmannin producing maximal inhibition at 100 nM and LY294002 producing maximal inhibition at 5μ M (Fig.3)	SEN:10000154	11145585
BEL:20000236	a(CHEBI:LY294002) decreases p(MGI:Ddit3)	Both of the PI3K inhibitors inhibited the induction of CHOP in a dose-dependent manner, with wortmannin producing maximal inhibition at 100 nM and LY294002 producing maximal inhibition at 5μ M (Fig.3)	SEN:10000154	11145585
BEL:20000238	a(CHEBI:lipopolysaccharide) increases a(CHEBI:"nitric oxide")	LPS-induced NO synthesis feedback regulates itself through up-regulation of OPN promoter activity and gene transcription.	SEN:10000156	11145688
BEL:20000242	kin(p(MGI:Src)) decreases path(MESHD:Osteopetrosis)	Expression of a truncated Src mutant lacking the kinase domain induced osteopetrosis in wildtype and Src +/- mice and worsened osteopetrosis in Src -/- mice by increased osteoclast apoptosis.	SEN:10000158	11157779
BEL:20000244	kin(p(MGI:Src)) increases bp(GOBP:"apoptotic process")	Expression of a truncated Src mutant lacking the kinase domain induced osteopetrosis in wildtype and Src +/- mice and worsened osteopetrosis in Src -/- mice by increased osteoclast apoptosis.	SEN:10000158	11157779
BEL:20000246	kin(p(MGI:Src)) decreases path(MESHD:Osteopetrosis)	Mutant src(-/-) mice have osteopetrosis resulting from defective osteoclasts (increased apoptosis). 	SEN:10000160	11157779
BEL:20000252	p(HGNC:PTGER1) increases bp(GOBP:"wound healing")	Figure 5 shows that both the EP1 receptor antagonist AH-6809 and the EP4 receptor antagonist AH-23848B significantly inhibited wound repair compared with that in untreated control monolayers.	SEN:10000164	11159024
BEL:20000254	p(HGNC:PTGER4) increases bp(GOBP:"wound healing")	 Figure 5 shows that both the EP1 receptor antagonist AH-6809 and the EP4 receptor antagonist AH-23848B significantly inhibited wound repair compared with that in untreated control monolayers.	SEN:10000166	11159024
BEL:20000260	complex(p(HGNC:PLAU),p(HGNC:PLAUR)) directlyIncreases cat(p(HGNC:PLAUR))	"The interaction of uPA with its receptor concentrates the enzyme activity to the so-called \"focal attachment sites\" on the cell surface and stimulates signal transduction through the uPAR, leading to induction of cell migration and invasion (19)."	SEN:10000172	11172729
BEL:20000274	p(HGNC:DCC) increases cat(p(HGNC:CASP9))	Moreover, we demonstrate that DCC interacts with both caspase-3 and caspase-9 and drives the activation of caspase-3 through caspase-9 without a requirement for cytochrome c or Apaf-1.	SEN:10000182	11248093
BEL:20000278	p(MGI:Aifm1) increases bp(GOBP:"cell death")	Thus, extramitochondrially targeted AIF is a dominant cell death inducer.	SEN:10000184	11259394
BEL:20000282	bp(GOBP:"apoptotic process") increases deg(p(HGNC:EIF4B))	Eukaryotic initiation factor (eIF) 4B interacts with several components of the initiation pathway and is targeted for cleavage during apoptosis.	SEN:10000188	11274152
BEL:20000284	bp(GOBP:"apoptotic process") decreases complex(p(HGNC:EIF4B),p(HGNC:PABPN1))	Similarly, the association of eIF4B with the poly(A)-binding protein in vivo is reduced when cells are induced to undergo apoptosis.	SEN:10000190	11274152
BEL:20000286	cat(p(HGNC:CASP3)) increases deg(p(HGNC:EIF4B))	In a cell-free system, cleavage of eIF4B by caspase-3 coincides with a general inhibition of protein synthetic activity.	SEN:10000192	11274152
BEL:20000292	bp(GOBP:"response to ionizing radiation") increases p(HGNC:JUN)	In the absence of CdCl2 pretreatment, ionizing radiation increased both expression (Fig. 3A) and phosphorylation (Fig. 3B) of c-Jun in MRC5CV1 cells but not in AT5BIVA cells.	SEN:10000196	11278277
BEL:20000310	a(CHEBI:fenofibrate) increases p(MGI:Pltp)	Significant rises in plasma PLTP activity were observed after 2 weeks of fenofibrate treatment.	SEN:10000210	11342537
BEL:20000318	complex(p(HGNC:DFFA), p(HGNC:DFFB)) decreases cat(p(HGNC:DFFB))	Caspase-activated DNase (CAD) is a deoxyribonuclease that causes DNA fragmentation during apoptosis. In proliferating cells, CAD is complexed with ICAD (inhibitor of CAD) and its DNase activity is suppressed	SEN:10000216	11361146
BEL:20000320	cat(p(HGNC:DFFA)) decreases cat(p(HGNC:DFFB))	Caspase-activated DNase (CAD) is a deoxyribonuclease that causes DNA fragmentation during apoptosis. In proliferating cells, CAD is complexed with ICAD (inhibitor of CAD) and its DNase activity is suppressed	SEN:10000216	11361146
BEL:20000322	cat(p(MGI:Ednrb)) increases cat(p(MGI:Slc9a3))	In conclusion, metabolic acidosis increases ET-1 expression, which increases NHE3 activity via the ET(B) receptor.	SEN:10000218	11413164
BEL:20000324	complex(p(MGI:Edn1),p(MGI:Ednrb)) increases cat(p(MGI:Slc9a3))	In conclusion, metabolic acidosis increases ET-1 expression, which increases NHE3 activity via the ET(B) receptor.	SEN:10000218	11413164
BEL:20000356	a(CHEBI:"Ro 31-8220") decreases kin(p(MGI:Prkd1))	As illustrated in Fig. 2B, the increase in PKD activity induced by these stimuli was markedly attenuated by treatment with either Ro 31-8220 or GF I.	SEN:10000230	11514571
BEL:20000368	a(CHEBI:vasopressin) increases p(MGI:Prkd1,pmod(P,S,916))	Stimulation with either vasopressin or PDBu also induced a marked increase in PKD activity within cells as shown by Ser916 phosphorylation (Fig. 3B).	SEN:10000236	11514571
BEL:20000372	a(CHEBI:"cholic acid") increases r(MGI:Apoc2)	hepatic expression of both apoC2 and phospholipid transfer protein mRNAs increases when mice are fed diets supplemented with cholic acid, an Fxr ligand, and this induction is attenuated in Fxr null mice	SEN:10000240	11579204
BEL:20000374	a(CHEBI:"cholic acid") increases r(MGI:Pltp)	hepatic expression of both apoC2 and phospholipid transfer protein mRNAs increases when mice are fed diets supplemented with cholic acid, an Fxr ligand, and this induction is attenuated in Fxr null mice	SEN:10000240	11579204
BEL:20000376	p(HGNC:PARP1) decreases cat(p(HGNC:DNASE1L3))	caspase-3 prevented the inhibition of DNAS1L3 endonuclease activity by wild-type PARP-1	SEN:10000242	11694507
BEL:20000380	cat(p(HGNC:CASP3)) decreases p(HGNC:PARP1)	caspase-3 prevented the inhibition of DNAS1L3 endonuclease activity by wild-type PARP-1	SEN:10000242	11694507
BEL:20000392	p(MGI:Mst1) increases cat(p(MGI:Mst1r))	macrophage-stimulating protein (MSP), through activation of its receptor RON, negatively regulates NO production in response to IFN-gamma and LPS by inhibiting the expression of inducible NO synthase (iNOS).	SEN:10000252	11777982
BEL:20000394	cat(p(MGI:Mst1r)) decreases r(MGI:Nos2)	macrophage-stimulating protein (MSP), through activation of its receptor RON, negatively regulates NO production in response to IFN-gamma and LPS by inhibiting the expression of inducible NO synthase (iNOS).	SEN:10000252	11777982
BEL:20000396	cat(p(MGI:Mst1r)) decreases a(CHEBI:"nitric oxide")	macrophage-stimulating protein (MSP), through activation of its receptor RON, negatively regulates NO production in response to IFN-gamma and LPS by inhibiting the expression of inducible NO synthase (iNOS).	SEN:10000252	11777982
BEL:20000398	p(MGI:Apoa1) increases complex(a(CHEBI:"high-density lipoprotein"),a(CHEBI:cholesterol))	Recent studies have demonstrated in humans that fibrates increase plasma HDL cholesterol in humans, at least in part, through induction of the expression of the human apoa1 ans apoa2 genes.	SEN:10000254	11788127
BEL:20000400	p(MGI:Apoa2) increases complex(a(CHEBI:"high-density lipoprotein"),a(CHEBI:cholesterol))	Recent studies have demonstrated in humans that fibrates increase plasma HDL cholesterol in humans, at least in part, through induction of the expression of the human apoa1 ans apoa2 genes.	SEN:10000254	11788127
BEL:20000418	cat(p(HGNC:IL6ST)) directlyIncreases kin(p(HGNC:JAK2))	binding of Il6 to Il6R induces homodimerization ofgp130, activating JAK associated with gp130 at Box1.	SEN:10000268	12110143
BEL:20000426	cat(p(HGNC:FADD)) increases cat(p(HGNC:CASP8))	Thus, FADD is not only necessary for recruitment and activation of caspase-8, but also for recruitment and activation of caspase-10 at the TRAIL and the CD95 DISCs.	SEN:10000276	12198154
BEL:20000428	cat(p(HGNC:FADD)) increases cat(p(HGNC:CASP10))	Thus, FADD is not only necessary for recruitment and activation of caspase-8, but also for recruitment and activation of caspase-10 at the TRAIL and the CD95 DISCs.	SEN:10000276	12198154
BEL:20000430	bp(GOBP:"apoptotic process") increases cat(p(MGI:Pla2g4a))	Both Pla2g6 and cPLA2 are activated during apoptosis. 	SEN:10000278	12208880
BEL:20000432	bp(GOBP:"apoptotic process") increases cat(p(MGI:Pla2g6))	Both Pla2g6 and cPLA2 are activated during apoptosis. 	SEN:10000278	12208880
BEL:20000442	cat(p(HGNC:MMP12)) increases deg(p(HGNC:ELN))	It has also become apparent that macrophage-derived metalloproteases, including gelatinase A (MMP-2), gelatinase B (MMP-9), matrilysin MMP-7), and macrophage metalloelastase (MMP-12), can degrade elastin and collagen (11, 13, 14).	SEN:10000286	12522030
BEL:20000444	cat(p(HGNC:MMP2)) increases deg(p(HGNC:ELN))	It has also become apparent that macrophage-derived metalloproteases, including gelatinase A (MMP-2), gelatinase B (MMP-9), matrilysin MMP-7), and macrophage metalloelastase (MMP-12), can degrade elastin and collagen (11, 13, 14).	SEN:10000286	12522030
BEL:20000446	cat(p(HGNC:MMP7)) increases deg(p(HGNC:ELN))	It has also become apparent that macrophage-derived metalloproteases, including gelatinase A (MMP-2), gelatinase B (MMP-9), matrilysin MMP-7), and macrophage metalloelastase (MMP-12), can degrade elastin and collagen (11, 13, 14).	SEN:10000286	12522030
BEL:20000448	cat(p(HGNC:MMP9)) increases deg(p(HGNC:ELN))	It has also become apparent that macrophage-derived metalloproteases, including gelatinase A (MMP-2), gelatinase B (MMP-9), matrilysin MMP-7), and macrophage metalloelastase (MMP-12), can degrade elastin and collagen (11, 13, 14).	SEN:10000286	12522030
BEL:20000454	cat(p(HGNC:DOCK1)) directlyIncreases gtp(p(HGNC:RAC1))	FA-CRKL induced cotranslocation of a Rac1 activator, Dock1, to focal adhesions. 	SEN:10000292	12665586
BEL:20000464	cat(p(HGNC:ADAM17)) increases p(HGNC:AREG)	Data show that in squamous cell carcinoma cells, stimulation with G protein-coupled receptor agonists specifically results in cleavage and release of amphiregulin (AR) by TACE.	SEN:10000300	12743035
BEL:20000466	complex(p(MGI:Yy1),p(MGI:Rb1)) decreases tscript(p(MGI:Yy1))	These observations suggest that the interaction of YY1 with hypophosphorylated Rb in resting B cells prevents interaction of YY1 with DNA. 	SEN:10000302	12759432
BEL:20000468	cat(p(HGNC:MMP9)) increases p(HGNC:VEGFA)	The matrix metalloproteinase (MMP)-9 was also found to be a component of the angiogenic switch. By releasing sequestered VEGF, this proteinase makes VEGF available for interaction with its receptors45.	SEN:10000304	12778130
BEL:20000480	p(MGI:Cry1) increases bp(GOBP:"cell cycle")	 Therefore, the cell cycle progression from S to M phase was impaired during liver regeneration in Cry-deficient mice	SEN:10000314	12934012
BEL:20000482	cat(p(HGNC:HIF1AN)) directlyDecreases complex(p(HGNC:HIF1A),p(HGNC:EP300))	O2-dependent hydroxylation of asparagine (N) residue 803 in HIF-1a by the enzyme FIH-1 (factor inhibiting HIF-1) blocks the binding of p300 and CBP to HIF-1a and therefore inhibits HIF-1-mediated gene transcription.	SEN:10000316	13130303
BEL:20000484	cat(p(HGNC:HIF1AN)) directlyDecreases complex(p(HGNC:HIF1A),p(HGNC:CREBBP))	O2-dependent hydroxylation of asparagine (N) residue 803 in HIF-1a by the enzyme FIH-1 (factor inhibiting HIF-1) blocks the binding of p300 and CBP to HIF-1a and therefore inhibits HIF-1-mediated gene transcription.	SEN:10000316	13130303
BEL:20000486	cat(p(HGNC:HIF1AN)) directlyDecreases tscript(p(HGNC:HIF1A))	O2-dependent hydroxylation of asparagine (N) residue 803 in HIF-1a by the enzyme FIH-1 (factor inhibiting HIF-1) blocks the binding of p300 and CBP to HIF-1a and therefore inhibits HIF-1-mediated gene transcription.	SEN:10000316	13130303
BEL:20000492	path(MESHD:Hyperoxia) decreases sec(p(MGI:Vegfa))	In the developing retina, hyperoxia-induced vessel regression has been correlated with inhibition of glial VEGF release (5).	SEN:10000322	14657001
BEL:20000520	cat(p(MGI:Icmt)) increases bp(GOBP:"cell growth")	Inactivation of Icmt inhibited cell growth and K-Ras-induced oncogenic transformation, both in soft agar assays and in a nude mice model.	SEN:10000336	14966563
BEL:20000532	cat(p(MGI:Entpd1)) decreases path(MESHD:Ischemia)	In mutant mice null or deficient for cd39, ischemia reperfusion-related death occurred in 80% of animals.	SEN:10000342	14983235
BEL:20000542	cat(p(MGI:Lgals12)) increases bp(GOBP:"fat cell differentiation")	Here, we show that the galectin-12 gene is expressed in mouse preadipocytes and is up-regulated when preadipocytes undergo cell cycle arrest, concomitant with acquisition of the competence to undergo differentiation in response to adipogenic hormone stimulation. 	SEN:10000348	15131127
BEL:20000544	cat(p(MGI:Lgals12)) increases r(MGI:Cebpa)	Down-regulation of endogenous galectin-12 expression by RNA interference greatly reduced the expression of the adipogenic transcription factors CCAAT/enhancer-binding protein-beta and -alpha and peroxisome proliferator-activated receptor-gamma and severely suppressed adipocyte differentiation as a result of defective adipogenic signaling.	SEN:10000350	15131127
BEL:20000546	cat(p(MGI:Lgals12)) increases r(MGI:Cebpb)	Down-regulation of endogenous galectin-12 expression by RNA interference greatly reduced the expression of the adipogenic transcription factors CCAAT/enhancer-binding protein-beta and -alpha and peroxisome proliferator-activated receptor-gamma and severely suppressed adipocyte differentiation as a result of defective adipogenic signaling.	SEN:10000350	15131127
BEL:20000548	cat(p(MGI:Lgals12)) increases r(MGI:Pparg)	Down-regulation of endogenous galectin-12 expression by RNA interference greatly reduced the expression of the adipogenic transcription factors CCAAT/enhancer-binding protein-beta and -alpha and peroxisome proliferator-activated receptor-gamma and severely suppressed adipocyte differentiation as a result of defective adipogenic signaling.	SEN:10000350	15131127
BEL:20000550	cat(p(MGI:Lgals12)) increases bp(GOBP:"fat cell differentiation")	 Down-regulation of endogenous galectin-12 expression by RNA interference greatly reduced the expression of the adipogenic transcription factors CCAAT/enhancer-binding protein-beta and -alpha and peroxisome proliferator-activated receptor-gamma and severely suppressed adipocyte differentiation as a result of defective adipogenic signaling.	SEN:10000352	15131127
BEL:20000564	cat(p(HGNC:CASP8)) directlyIncreases cat(p(HGNC:CASP3))	When initiator caspases, such as caspase-8 and caspase-9, are activated by oligomerization, they cleave the precursor forms of effector caspases, such as caspase-3, caspase-6 and caspase-7	SEN:10000364	15286739
BEL:20000566	cat(p(HGNC:CASP9)) directlyIncreases cat(p(HGNC:CASP3))	When initiator caspases, such as caspase-8 and caspase-9, are activated by oligomerization, they cleave the precursor forms of effector caspases, such as caspase-3, caspase-6 and caspase-7	SEN:10000364	15286739
BEL:20000568	cat(p(HGNC:CASP9)) directlyIncreases cat(p(HGNC:CASP6))	When initiator caspases, such as caspase-8 and caspase-9, are activated by oligomerization, they cleave the precursor forms of effector caspases, such as caspase-3, caspase-6 and caspase-7	SEN:10000364	15286739
BEL:20000570	cat(p(HGNC:CASP9)) directlyIncreases cat(p(HGNC:CASP7))	When initiator caspases, such as caspase-8 and caspase-9, are activated by oligomerization, they cleave the precursor forms of effector caspases, such as caspase-3, caspase-6 and caspase-7	SEN:10000364	15286739
BEL:20000586	path(MESHD:Hyperoxia) increases kin(p(MGI:Mapk1))	hyperoxia stimulated ERK-1 and ERK-2 phosphorylation	SEN:10000378	15292179
BEL:20000590	path(MESHD:Hyperoxia) increases kin(p(MGI:Mapk3))	hyperoxia stimulated ERK-1 and ERK-2 phosphorylation	SEN:10000378	15292179
BEL:20000592	path(MESHD:Hyperoxia) increases p(MGI:Nfe2l2,pmod(P))	As was seen for wild-type MEFs, hyperoxia enhanced the phosphorylation of endogenous Nrf2 (lane 6) when compared with room air-exposed controls (lane 5).	SEN:10000382	15292179
BEL:20000594	path(MESHD:Hyperoxia) increases p(MGI:Nfe2l2,pmod(P))	In ERK-1+/+ MEFs, hyperoxia stimulated phosphorylation of Nrf2 (lane 4), when compared with room air-exposed controls (lane 3).	SEN:10000384	15292179
BEL:20000602	a(CHEBI:aldosterone) directlyIncreases tscript(p(HGNC:NR3C2))	The AT2 cells treated with aldosterone had increased Na,K-ATPase beta1-subunit mRNA and protein, which was associated with a 4-fold increase in the Na,K-ATPase hydrolytic activity and the ouabain-sensitive (86)Rb(+) uptake.	SEN:10000392	10673201
BEL:20000606	a(CHEBI:ATP) decreases bp(GOBP:"necrotic cell death")	Activation of poly(ADP-ribose) polymerase (PARP) by DNA breaks catalyzes poly(ADP-ribosyl)ation and results in depletion of NAD+ and ATP, which is thought to induce necrosis. 	SEN:10000396	10373561
BEL:20000608	a(CHEBI:bilirubin) decreases a(CHEBI:"reactive oxygen species")	Bilirubin is a potent antioxidant that we show can protect cells from a 10,000-fold excess of H2O2. We report that bilirubin is a major physiologic antioxidant cytoprotectant.	SEN:10000398	12456881
BEL:20000620	a(CHEBI:ceramide) increases a(CHEBI:"reactive oxygen species")	Ceramide triggers the generation of ROS and increases oxidative stress in many mammalian cells and animal models.	SEN:10000408	20502003
BEL:20000630	a(CHEBI:curcumin) decreases cat(p(HGNC:CYP2B6))	Curcumin showed a competitive type of inhibition towards CYP1A2, CYP3A4 and CYP2B6. Curcumin inhibited CYP1A2 (IC(50), 40.0 microM), CYP3A4 (IC(50), 16.3 microM), CYP2D6 (IC(50), 50.3 microM), CYP2C9 (IC(50), 4.3 microM) and CYP2B6 (IC(50), 24.5 microM). 	SEN:10000418	17433521
BEL:20000632	a(CHEBI:curcumin) increases cat(p(HGNC:SIRT1))	Naturally occurring dietary polyphenols, such as resveratrol, curcumin, quercetin, and catechins, have antioxidant and anti-inflammatory properties via modulating different pathways, such as NF-kappaB- and mitogen activated protein kinase-dependent signaling pathways. In addition, these polyphenols have also been shown to activate SIRT1 directly or indirectly in a variety of models. 	SEN:10000420	20450879
BEL:20000634	a(CHEBI:curcumin) increases p(HGNC:NFE2L2)	Dietary curcumin led to increase in NF-E2-related factor-2 (Nrf2) protein levels and enhanced its nuclear translocation in liver and lungs of mice as compared with controls.	SEN:10000422	18321868
BEL:20000636	a(CHEBI:curcumin) increases tloc(p(MGI:Nfe2l2),GOCCID:0005737,GOCCID:0005634)	Dietary curcumin led to increase in NF-E2-related factor-2 (Nrf2) protein levels and enhanced its nuclear translocation in liver and lungs of mice as compared with controls.	SEN:10000422	18321868
BEL:20000638	a(CHEBI:dexamethasone) increases tscript(p(HGNC:NR3C1))	The capacity of GR to transactivate the native angiotensinogen glucocorticoid-responsive element (GRE) using chromatin-IP was not impaired.	SEN:10000424	12414793
